,OCR Text,Ground Truth,Lexical Correction
472,"`` Bnt come with me, and perhaps I may be able to do something towards your liberas-] tion.'' So saying, he drew aside the tspestry, and opened as panel behind it, through which he passed, and beckoned Ginger to follow him.","“But come with me, and perhaps I may be able to do something towards your liberation.” So saying, he drew aside the tapestry, and opened a panel behind it, through which he passed, and beckoned Ginger to follow him.","`` Bnt come with me, and perhaps I may be able to do something towards your liberas-] nation.'' So saying, he drew aside the tapestry, and opened as panel behind it, through which he passed, and beckoned Ginger to follow him."
473,"4 Once beheld, the man I mean is not to be forgotten,'' said Ebba.","“Once beheld, the man I mean is not to be forgotten,” said Ebba.","4 Once beheld, the man I mean is not to be forgotten,'' said Ebba."
474,"As soon as the coast was clcar, they ventured forth, and quickening their pnce, cnme to a row of deserted and dilapidated houscs.","As soon as the coast was clear, they ventured forth, and quickening their pace, came to a row of deserted and dilapidated houses.","As soon as the coast was clear, they ventured forth, and quickening their pace, came to a row of deserted and dilapidated houses."
475,"You terrify me, Auriol,'' sle rejoined.","“You terrify me, Auriol,” she rejoined.","You terrify me, Auriol,'' sle rejoined."
476,"Then we're antombed alio.'' 18a3 iIam,'' said the dwarf, with affected nonehalance.","“Then we’re entombed alive.” “ I am,” said the dwarf, with affected nonchalance.","Then we're entombed alit.'' 18a3 imam,'' said the dwarf, with affected nonchalance."
477,You see I have provided against every difficulty.,You see I have provided against every difficulty.,You see I have provided against every difficulty.
478,"H don't like to talk of his age unless you can get him i' tho humour; but he once told me he didn't know why he lired so long, nnless it were owin' to a potion he'd swnllowed, vich his master, who was a great conjuror in Queen Bess'a days, ad brew'd,'' PhawI'' exclaimed Ginger.","“He don’t like to talk of his age unless you can get him i’ the humour; but he once told me he didn’t know why he lived so long, unless it were owin’ to a potion he’d swallowed, vich his master, who was a great conjurer in Queen Bess’s days, had brew’d.” “Pshaw!” exclaimed Ginger.","H don't like to talk of his age unless you can get him i' tho humour; but he once told me he didn't know why he lived so long, unless it were owin' to a potion he'd swallowed, rich his master, who was a great conjuror in Queen Bess'a days, ad brew'd,'' PhawI'' exclaimed Ginger."
479,"ITalbot went upstairs to teas, they found that Editl's aunt, Mrs.","Talbot went up-stairs to tea, they found that Edith’s aunt, Mrs.","ITalbot went upstairs to teas, they found that Editl's aunt, Mrs."
480,"Vy, zounds, it's shut of itself and bolted itself on t'other tide t' Some one mnst hae followed you,'' groaned Thorneycroft,","Vy, zounds, it’s shut of itself and bolted itself on t’other side!” “Some one must have followed you,” groaned Thorneycroft.","Vy, bounds, it's shut of itself and bolted itself on t'other tide t' Some one mnst hae followed you,'' groaned Thorneycroft,"
481,The whole aspect of the place is altered.,“The whole aspect of the place is altered.,The whole aspect of the place is altered.
